country,winter,min_winter_full,days,storage_stress,storage_at_start,storage_trend_30d,storage_volatility,vol_x_start
DE,2023.0,62.78,152,0,98.06903225806451,3.6099999999999994,2.8362904242666183,-26.069380772921956
DE,2024.0,28.69,151,1,97.18322580645162,1.9699999999999989,2.08391534641794,-30.260384017716564
DK,2014.0,26.08,151,1,96.86612903225806,1.8100000000000023,5.495065401820722,-0.38392991237959057
DK,2015.0,38.52,152,0,83.64548387096774,2.980000000000004,8.801729713815128,-15.599764657989368
DK,2016.0,21.75,151,1,96.96774193548384,31.230000000000004,4.530198525081895,-8.62731629666409
DK,2017.0,13.97,151,1,94.27064516129033,4.840000000000003,10.904643356917873,31.335086077701188
DK,2018.0,54.42,151,0,88.03,9.909999999999997,10.83819668940144,-2.1136802252662408
DK,2019.0,64.12,152,0,97.33741935483872,0.06999999999999318,0.8111404711393084,-42.13180770153078
DK,2020.0,35.07,151,0,94.28967741935482,3.740000000000009,1.4353586596727756,-24.05937657374629
DK,2021.0,36.55,151,0,82.4706451612903,-0.8700000000000045,6.991384839395866,-8.644448897693824
DK,2022.0,71.27,151,0,99.21354838709678,1.9399999999999977,3.1098718898109294,-26.214016205790028
DK,2023.0,57.25,152,0,96.11064516129032,6.109999999999999,4.271890873542496,-9.745561320718526
DK,2024.0,27.1,151,1,70.78903225806452,10.219999999999999,3.0479177640857067,43.97027313663295
ES,2014.0,63.13,151,0,99.69451612903224,1.4300000000000068,1.958942222657516,-40.348936189505636
ES,2015.0,52.95,152,0,76.4490322580645,0.27000000000001023,3.9957994314191816,18.506281952145926
ES,2016.0,55.47,151,0,73.18161290322581,-3.549999999999997,1.457092687897237,62.26230521155048
ES,2017.0,55.42,151,0,76.64161290322582,4.159999999999997,2.1581761500470042,39.869540726921045
ES,2018.0,59.46,151,0,74.80354838709677,2.5,3.7543411011281957,24.338152704822313
ES,2019.0,70.31,152,0,90.67193548387098,5.829999999999998,5.810036191738686,0.6043986866897011
ES,2020.0,59.73,151,0,94.7983870967742,0.09000000000000341,2.5732150134837086,-18.900274169907824
ES,2021.0,57.93,151,0,77.88967741935484,9.189999999999998,3.2568163820389247,24.06918610383487
ES,2022.0,77.99,151,0,92.56096774193547,4.509999999999991,4.775257710819812,-3.1622567530536783
ES,2023.0,78.95,152,0,100.41096774193547,0.0,0.5152999441678856,-60.21269432492022
ES,2024.0,61.23,151,0,100.22354838709673,-0.010000000000005116,0.45204763705531187,-60.01689469396583
FR,2014.0,16.95,151,1,92.10000000000001,3.470000000000013,5.751564537733222,0.7745633586349672
FR,2015.0,21.4,152,1,86.78064516129032,1.019999999999996,7.842607203781724,-3.794542322843
FR,2016.0,19.87,151,1,90.38774193548389,2.4099999999999966,7.289913024866095,3.4265353119569597
FR,2017.0,2.9,151,1,74.52516129032257,1.6799999999999926,5.182611603594068,4.976992738486792
FR,2018.0,24.79,151,1,92.2393548387097,4.570000000000007,10.14669772237074,17.551043820457473
FR,2019.0,29.46,152,1,98.83451612903225,-0.07000000000000739,4.273627304419357,-13.183211439184339
FR,2020.0,17.61,151,1,98.12193548387097,0.9900000000000091,3.3383597851237266,-21.34591307310194
FR,2021.0,18.73,151,1,94.37032258064517,2.3999999999999915,8.579818369780737,18.057195926844198
FR,2022.0,27.47,151,1,98.81838709677419,2.680000000000007,5.314290921891356,-2.3509054229236828
FR,2023.0,36.94,152,0,97.38096774193549,5.659999999999997,6.11758446205992,5.165421587839505
FR,2024.0,21.1,151,1,94.05935483870968,3.089999999999989,4.457573455492473,-6.097670459261308
HR,2014.0,48.87,151,0,92.69225806451614,5.8799999999999955,7.210549747794427,7.119577000632102
HR,2015.0,43.2,152,0,91.6409677419355,-2.240000000000009,4.093359533703313,-4.648413639852994
HR,2016.0,25.78,151,1,92.11838709677419,-2.940000000000012,4.5659691107255505,-3.595693823140472
HR,2017.0,26.85,151,1,92.27193548387096,4.900000000000006,7.542199780441375,7.692161093648824
HR,2018.0,22.24,151,1,89.08322580645158,6.6299999999999955,6.95558995147311,0.9257619193873194
HR,2019.0,27.34,152,1,98.15032258064514,0.8599999999999994,7.571767823799675,19.74595588027394
HR,2020.0,19.92,151,1,95.16161290322582,-0.4299999999999926,6.313564656883952,5.204283524840137
HR,2021.0,16.38,151,1,84.97774193548385,-8.050000000000011,6.2247243610288905,-2.3611833994841214
HR,2022.0,75.57,151,0,95.4464516129032,5.780000000000001,12.71036851463315,50.313811706274805
HR,2023.0,35.79,152,0,96.35709677419355,-0.060000000000002274,0.6599629335484891,-38.69399323533214
HR,2024.0,9.59,151,1,90.80935483870968,1.0100000000000051,4.647320043102392,-2.1262644434388926
HU,2014.0,21.89,151,1,62.45032258064517,7.790000000000006,6.961587138945657,-36.91612288889126
HU,2015.0,17.14,152,1,49.49451612903227,1.970000000000006,6.033221382452985,-19.181115364232355
HU,2016.0,18.54,151,1,56.21258064516129,-2.6799999999999997,4.584998548025206,30.78508177420597
HU,2017.0,20.25,151,1,73.00999999999998,1.4299999999999926,8.915268660051632,-52.03443023434956
HU,2018.0,24.65,151,1,70.7132258064516,-1.2600000000000051,4.981743500233864,9.900038760519175
